id,title,collection,volume,source_volume_url,local_text_path,original_text_link,story_dynasty,story_type_primary,story_type_secondary,female_centrality,female_perspective,female_figures,female_agency,ending_type,moral_evaluation,feminist_angles,evidence_keywords,confidence,text_char_count
lzz-v01-001,考城隍,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-001/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-001/source.txt,未明,鬼魂/冥府,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,因果报应,父权家族/宗法|婚姻/婚配制度|照护劳动/生育责任,城隍|死|歿,中,590
lzz-v01-002,耳中人,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-002/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-002/source.txt,魏晋南北朝,仙神/龙女,,无,无明显女性视角,无显著女性形象,无,异闻收束,礼教惩戒,父权家族/宗法,,低,232
lzz-v01-003,尸變,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-003/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-003/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,报应惩戒,因果报应,父权家族/宗法|男性凝视与欲望投射,死,低,845
lzz-v01-004,噴水,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-004/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-004/source.txt,未明,妖怪/精魅,,边缘,男性转述/旁观,母亲/婆妪,低,悲剧/消散,弱评价/异闻观照,妻妾/婢妾与阶层|婚姻/婚配制度|家庭暴力与虐待,逼|死,中,267
lzz-v01-005,瞳人語,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-005/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-005/source.txt,未明,仙神/龙女,,边缘,男性凝视主导,凡间女子|妻妾/已婚女性|婢女/侍女,中,报应惩戒,礼教惩戒,男性凝视与欲望投射|婚姻/婚配制度|妻妾/婢妾与阶层|家庭暴力与虐待,妻,高,921
lzz-v01-006,畫壁,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-006/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-006/source.txt,未明,梦幻/异境,,无,无明显女性视角,无显著女性形象,无,惊悚收束,礼教惩戒,男性凝视与欲望投射|女性欲望与婚恋自主|女性互助/代际支持,,低,917
lzz-v01-007,山魈,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-007/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-007/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,惊悚收束,弱评价/异闻观照,家庭暴力与虐待,逃,低,398
lzz-v01-008,咬鬼,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-008/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-008/source.txt,未明,鬼魂/冥府,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,婚姻/婚配制度|家庭暴力与虐待|父权家族/宗法,鬼|救,中,375
lzz-v01-009,捉狐,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-009/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-009/source.txt,未明,狐魅叙事,,无,无明显女性视角,无显著女性形象,无,异闻收束,弱评价/异闻观照,父权家族/宗法|婚姻/婚配制度|家庭暴力与虐待,狐|殺,中,259
lzz-v01-010,荍中怪,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-010/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-010/source.txt,未明,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,悲剧/消散,弱评价/异闻观照,父权家族/宗法,,低,331
lzz-v01-011,宅妖,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-011/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-011/source.txt,清,妖怪/精魅,,无,无明显女性视角,无显著女性形象,无,超脱成仙,弱评价/异闻观照,妻妾/婢妾与阶层,,低,283
lzz-v01-012,王六郎,聊斋志异,聊斋志异·卷1,https://zh.wikisource.org/zh-hans/%E8%81%8A%E9%BD%8B%E5%BF%97%E7%95%B0/%E7%AC%AC01%E5%8D%B7,stories/lzz-v01-012/source.txt,file:///Users/gsdata/waoowaoo-main/materials/zhiguai/stories/lzz-v01-012/source.txt,未明,仙神/龙女,,边缘,男性凝视主导,妻妾/已婚女性,中,异闻收束,弱评价/异闻观照,女性欲望与婚恋自主|婚姻/婚配制度|男性凝视与欲望投射|家庭暴力与虐待,妻,中,1539
