id,title_simplified,one_sentence_summary,modern_news_angle,main_conflict,emotional_hook,account_column,video_title_angles,risk_notes,visual_notes,production_priority,production_reason
zby-v01-008,骷髅报仇,常熟人孙君寿戏弄骷髅，反被骷髅附身，最终模仿自己当初的恶行而死。,冒犯亡者遭报应？男子侮辱骷髅后精神失常自食粪便身亡,人类对亡者的亵渎 vs 超自然力量的报复,作恶者自食其果的恐惧与因果报应的震撼,古代奇案/志怪警示录,"[""他让骷髅吃屎，结果自己三天后也这么死了"", ""史上最离谱的报应：侮辱骷髅反被附体"", ""别惹死人！清代男子戏弄骷髅惨遭轮回惩罚""]",涉及粪便、自残行为，需淡化具体细节，避免低俗化；强调因果报应而非恐怖渲染,可用阴森荒冢、滚动骷髅（卡通化处理）、主角惊恐表情特写；避免真实粪便画面,谨慎,故事短小但情节极端，易引发不适，需高度艺术化处理才能符合平台规范
zby-v01-024,常格诉冤,十二岁少年常格被奸杀埋尸，借工人之口在官府当众控诉凶手，终得昭雪。,清代‘灵异破案’实录：冤魂附体指认凶手，刑部据此定罪斩立决,无辜孩童被害 vs 司法系统依赖超自然线索伸张正义,幼童含冤而死却仍奋力发声的悲壮与正义终得伸张的慰藉,古代司法奇案/冤案追踪,"[""12岁男孩死后附体告状，凶手当场认罪"", ""清代真实‘鬼报案’：内务府审讯现场突现冤魂"", ""他失踪一个月，竟靠‘上身’喊冤抓住真凶""]",涉及儿童性侵未遂与谋杀，需隐去敏感词，聚焦司法程序与冤情昭雪,可还原清代衙门场景、邸抄文书、炭堆埋尸地点；用光影暗示灵魂附体现象,强烈推荐,具备真实历史背景（乾隆朝邸抄）、司法程序完整、结局正义，符合社会新闻+志怪融合需求
zby-v01-026,灵璧女借尸还魂,盲眼农妇死后复活，自称是另一村已葬少女借尸还魂，引发两家争妻官司。,清代‘身份错位’奇案：女子死后复活坚称自己是别人，官府判归原夫,灵魂归属 vs 婚姻法律关系 vs 家庭情感认同,少女灵魂困于陌生身体的无助与亲情重逢的泪目瞬间,古代身份谜案/民俗奇谭,"[""她死后复活，却说‘我不是你老婆’"", ""借尸还魂实录：盲女睁眼变闺秀，两家抢人打官司"", ""清代最离奇婚姻案：灵魂换了，丈夫该是谁？""]",涉及“借尸还魂”可能被误读为宣扬迷信，需强调‘民间传说’属性及官府裁决逻辑,可对比呈现病态农妇与羞涩少女神态；用镜像、光影切换表现灵魂转换,推荐,情节戏剧性强，有情感冲突、法律争议和民俗元素，适合短视频叙事节奏
zby-v01-029,狱中石匣,知州强行打开狱中百年石匣，见血影人像后突发怪病身亡，真相成谜。,清代官员无视禁忌强开神秘石匣，三日后暴毙，匣中影像成千古之谜,官僚傲慢 vs 不可知的古老禁忌,好奇心招致死亡的宿命感与未解之谜的悬疑氛围,古代禁地秘闻/官场警示录,"[""他偏要打开监狱里的诅咒盒子，结果死了"", ""清代最诡异‘潘多拉魔盒’：一开就出事"", ""官府地牢藏百年石匣，谁碰谁死？""]",无明显敏感内容，但需避免渲染‘诅咒’导向，可归因为心理暗示或巧合,石匣特写、模糊血影、硫磺烟雾升腾；用冷色调营造压抑感,推荐,神秘感强，结构紧凑，适合做成悬疑类志怪短视频，结尾留白引人讨论
zby-v02-020,关神断狱,书生被诬偷鸡，求助关帝庙掷筊反被判有罪；多年后扶乩才知关神故意判错以救妇人性命。,清代‘神明判案’反转：关帝宁背黑锅也要救下将被丈夫杀死的妇女,表面公正 vs 实质正义 / 神明权衡生命轻重的道德困境,神明甘受误解也要保全人命的慈悲与智慧,古代司法伦理/神明裁判录,"[""关帝故意判错案？真相让人泪目"", ""他被冤枉偷鸡丢工作，十年后才知道关公在救一条命"", ""神明也会‘撒谎’？只为阻止一场家暴杀人""]",涉及家暴、诬陷，需明确批判暴力，突出神明‘重生命轻名誉’的价值观,可重现掷筊场景、扶乩沙盘写字、关帝庙肃穆氛围；用闪回表现妇人濒死情境,强烈推荐,兼具志怪、伦理、司法多重元素，价值观正向，反转有力，极易引发共鸣与传播
zby-v02-024,尸体夜行诉冤,一具被毒杀的尸体借亡友之名深夜求助路人，最终得以伸冤。,离奇‘诈尸’报警：死者托梦/显灵求翻案，警方介入查出谋杀真相,无辜路人 vs 被害亡魂；真相隐藏于超自然表象之下,死者无法安息，只为讨一个公道,古代奇案实录,"[""尸体自己走来喊冤？"", ""借死人名字求救的真凶"", ""庙里半夜掉下个七窍流血的人""]",涉及尸体、鬼魂，需避免过度恐怖渲染；强调司法正义结局可降低风险,古庙夜景、门缝透光、黑影撞门、地上突然出现流血尸体、群僧举火照尸,强烈推荐,情节紧凑、有悬疑有反转、结局正义伸张，符合短视频爆款结构
zby-v02-025,沭阳洪氏狱,一桩十二年未破的奸杀案，凶手死后托梦自首，遭天雷焚棺。,沉寂12年的命案告破！凶手临终忏悔，遗体竟被雷劈焚毁,司法无力 vs 天道报应；生者冤屈 vs 死者良知,县令自责未能雪冤，天理却在多年后以超自然方式执行审判,古代悬案与天罚,"[""死后托梦认罪：我杀了师母"", ""雷劈棺材！凶手尸体化灰"", ""12年悬案，靠一场梦破了""]",涉及奸杀、刑讯，需淡化暴力细节；强调天理昭彰可规避敏感,清代县衙验尸、梦境中棺材起火、雷电交加、骨灰飘散而周围完好,推荐,真实官场反思+超自然结局，有深度也有戏剧性，但节奏稍缓
zby-v03-005,火烧盐船一案,三人私分修庙善款，八年后一人梦游阴司对质，贪者遭焚尸，清者还阳。,贪污50两善款，8年后尸体被雷火烧毁！城隍庙‘审计’曝光,私欲 vs 公义；阳间隐匿 vs 阴司清算,善款虽小，天理不饶；死后仍难逃审判,阴间反腐实录,"[""私吞修庙钱，死后被城隍抓去审"", ""阴间也有纪委？善款贪腐案曝光"", ""尸体被烧，只因当年分了50两银子""]",涉及宗教审判、焚尸，需注意避免宣扬迷信；可包装为‘因果寓言’,城隍庙阴森场景、枷锁囚犯、差役押解、文书投递、吕家柩木自燃,强烈推荐,结构完整如法庭剧，有举报、调查、审判、执行，极具现代反腐类比价值
zby-v03-023,城隍杀鬼不许为聻,女鬼夫被城隍枷责后，其妻鬼前来复仇，最终被腰斩灭魂，永绝后患。,恶鬼夫妻连环作案！城隍出手：不仅打，还要彻底销毁,人 vs 鬼祟；司法（城隍） vs 超自然犯罪,连鬼都怕的终极惩罚：不是关押，而是彻底抹除存在,阴间扫黑除恶,"[""城隍判鬼死刑：腰斩还不够，要扇成黑烟"", ""鬼也搞连坐？夫妻双双被灭魂"", ""躲粪桶过桥的色鬼，结局太惨了""]",暴力描写较重（腰斩、扇灭），需卡通化处理；避免渲染恐怖,红袍赤脚鬼、粪桶渡桥、鸟枪射击、城隍升堂、大扇扇鬼化烟,谨慎,情节猎奇但暴力元素多，需大幅改编才能合规，适合动画而非实拍
zby-v04-012,七盗索命,书生被七无头鬼索命，原是前世贪赃枉法，今生难逃因果。,七颗人头挂腰间追债！书生命丧前世贪腐旧账,今生无辜 vs 前世罪业；个人命运 vs 家族功德,刚要上榜功名，却被前世债主截杀，天榜名额竟被替换,轮回债与功名劫,"[""七颗人头滴血围攻书生"", ""文昌天榜前夜，他被前世仇家拖走"", ""贪官转世，仍难逃盗贼索命""]",涉及轮回、天榜、科举宿命，易涉封建迷信；需弱化宿命强调道德警示,冬夜书斋、无头鬼跳窗、人头挂腰滴血、阴司镜照前世、天榜书写场景,推荐,轮回设定新颖，结合科举文化，有宿命感与戏剧张力，但需谨慎处理因果逻辑
